name,code,full_name
Unidad Previsional,UYW,UYW – Unidad Previsional
Uzbekistan Sum,UZS,UZS – Uzbekistan Sum
Bolívar Soberano,VED,VED – Bolívar Soberano
Bolívar Soberano,VES,VES – Bolívar Soberano
Dong,VND,VND – Dong
Vatu,VUV,VUV – Vatu
Tala,WST,WST – Tala
CFA Franc BEAC,XAF,XAF – CFA Franc BEAC
East Caribbean Dollar,XCD,XCD – East Caribbean Dollar
CFA Franc BCEAO,XOF,XOF – CFA Franc BCEAO
CFP Franc,XPF,XPF – CFP Franc
Sucre,XSU,XSU – Sucre
Yemeni Rial,YER,YER – Yemeni Rial
Rand,ZAR,ZAR – Rand
Zambian Kwacha,ZMW,ZMW – Zambian Kwacha
Zimbabwe Dollar,ZWL,ZWL – Zimbabwe Dollar
